tax_id	species	genus	family	order	class	phylum	superkingdom	F153_concat_SUP_FilteredReads	F155_concat_SUP_FilteredReads	F157_concat_SUP_FilteredReads	F159_concat_SUP_FilteredReads	F161_concat_SUP_FilteredReads	F151_concat_SUP_FilteredReads	F149_concat_SUP_FilteredReads	F147_concat_SUP_FilteredReads	F145_concat_SUP_FilteredReads	F143_concat_SUP_FilteredReads	F141_concat_SUP_FilteredReads	F137_concat_SUP_FilteredReads	F136_concat_SUP_FilteredReads	F138_concat_SUP_FilteredReads	F140_concat_SUP_FilteredReads	F142_concat_SUP_FilteredReads	F144_concat_SUP_FilteredReads	F146_concat_SUP_FilteredReads	F148_concat_SUP_FilteredReads	F150_concat_SUP_FilteredReads	F152_concat_SUP_FilteredReads	F154_concat_SUP_FilteredReads	F156_concat_SUP_FilteredReads	F158_concat_SUP_FilteredReads	F160_concat_SUP_FilteredReads	F162_concat_SUP_FilteredReads	F164_concat_SUP_FilteredReads	F166_concat_SUP_FilteredReads	F168_concat_SUP_FilteredReads	F170_concat_SUP_FilteredReads	F139_concat_SUP_FilteredReads	F135_concat_SUP_FilteredReads	F165_concat_SUP_FilteredReads	F167_concat_SUP_FilteredReads	F171_concat_SUP_FilteredReads	F169_concat_SUP_FilteredReads	F172_concat_SUP_FilteredReads	F173_concat_SUP_FilteredReads	F174_concat_SUP_FilteredReads	F118_concat_SUP_FilteredReads
105841	Anaerostipes caccae	Anaerostipes	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria																	10.67837229236362												12.95615482881256											
106588	Pseudoflavonifractor capillosus	Pseudoflavonifractor	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	276.0064648811389	71.10233501829458	119.45269629384718	314.77770526460336		40.416653164700136	92.5927685234868	59.62938382041889	113.00183986925968	131.17591375558183	320.3955087336641	57.57997005556613	100.92111353655544	83.50110568646731	172.90786550899423	63.55384894078095	38.37715766110692	58.36053153174032	54.259346199258815	118.6854591666602		45.8609618978327	31.487068531315312	53.46181635586903	57.45071898606127	58.77667660473997	52.52125123236692	80.40233605974016	16.942563799715348		155.66992698403564	56.00375387025136	78.97702951964222	18.12076297289528	33.44359988498403	179.26677547523926	22.3457158029194	75.43200327111697	61.2419449910007	191.82607993996797
106648	Acinetobacter bereziniae	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria								35.2394063362062																																
106649	Acinetobacter guillouiae	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	18.020779816978283		106.25088647651644				89.11943899429205	2776.657841924436						10.017860819682337																						181.3469470597583				
1073423	Carnobacterium iners	Carnobacterium	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria							19.838625784725124																																	
1076330	Amphibacillus indicireducens	Amphibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria																									58.20223006441918															
108981	Acinetobacter schindleri	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria								16.549306156525777																																
109327	Anaerovorax odorimutans	Anaerovorax	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria	26.38323983956482		28.22802333297795					22.51476722187936	11.675935919635307	13.098584047730457	30.512893803639944	38.11462425775171				108.68445373756592						11.735572077497055				35.00563238361179		15.168146698658518			37.10835296858072	13.34734895218758	11.692738196581349		16.00267509618614	22.88528370682932		29.49528704249981	18.51607014805143	10.209586779737345
1094342	Alcanivorax xenomutans	Alcanivorax	Alcanivoracaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria																									22.429978665481958															
109790	Lactobacillus jensenii	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	152.9906212664788	430.7561718871903	191.3864712999858	76.00036402044385	40.9426840262735	76.37988928190252	235.1226059182576		336.6593532544585	279.8416946545391			371.9677733080459	126.50681935576782	296.20152444024967	26.39457457159442	95.15885524297664	249.8211693263179	111.3914634123648	124.1372412863313	174.05324421356312	147.10591946826787	102.12136739015178	122.00050568835044	41.7068484315343	20.411162543430518	21.866451944103236	62.38948993815425	645.5967308893811	18.073531660171408	14.87228940523159	27.656593750839665		363.0265997065918	369.7390914982065	108.50137469058508		90.95233467482822	145.5383562426113	2026.4059370659872
1099853	Coprobacter fastidiosus	Coprobacter	Barnesiellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	16.946985511466988			22.29333080677302																		14.432069773717672		16.242173086415082							12.06940047336904	25.63030261356888	21.110880704882703							
1114980	Spiroplasma atrichopogonis	Spiroplasma	Spiroplasmataceae	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria																															17.085061723806312									
1115758	Romboutsia ilealis	Romboutsia	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria																			51.318776355233645		13.241101200454375																			
111831	Defluviicoccus vanus	Defluviicoccus	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria																									18.094868797154327															
1126	Microcystis aeruginosa	Microcystis	Microcystaceae	Chroococcales		Cyanobacteria	Bacteria																									46.89540230012656															
112904	Enterococcus villorum	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria																														4019.168938765204							4066.701708181136			
1131292	Enterococcus ureilyticus	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria																																	91.86525429042932							
114527	Mogibacterium diversum	Mogibacterium	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria								30.388353395781557			18.007092835527022																						43.97337163654781							
114528	Mogibacterium neglectum	Mogibacterium	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria			21.31413910188428								20.75095940381392																19.50732652898659						19.13257367299257							
1148057	Sphingobacterium cibi	Sphingobacterium	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria																									46.19989455689933															
1150298	Fusicatenibacter saccharivorans	Fusicatenibacter	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria									20.20889501694504			30.21380130251049						13.396082961547554		30.718634152722757																				44.78198489314944
1155384	Glutamicibacter sp. ZJUTW	Glutamicibacter	Micrococcaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria	296.2779888981513																																							
115544	Parasporobacterium paucivorans	Parasporobacterium	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria			28.834879262556875					10.610456353216026			100.89669165163848		12.254721348720794	12.36000645942139	20.600330924228867	95.91680527347376	19.475199883861624	92.72941396108118	53.04582352330704							39.22490167362006	12.28636798695725		73.41720003590001				20.514655804970666			15.631677237778351	15.712680035353207			35.73391554768408
1157987	Paenalcaligenes hermetiae	Paenalcaligenes	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria																									26.15091813290212															
1160721	Ruminococcus bicirculans	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria			127.88048918077166	47.22510522877951	18.52508823134118	692.0038861727602	160.89954928439548	87.53023655692637	814.3452697875749	34.28177792080976	375.2273543072408		622.9827108292766		18.816258918708147	104.6661077186193	446.2241086994434	381.8155536689157	574.8326323511928				60.969275583059016	16.646844246644275	45.30810779521843	1048.3217682732163	178.37932593301954	45.83782284252398	559.5275832195662		543.4956410437323		438.48582560924456			18.917257612175668	75.89495748600584	57.89393659138595	91.132173336378	41.0244174588927
116089	Lactobacillus psittaci	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria							44.72082366690526														13.131885105788742								54.40243106396595			10.953737077429894		47.59169633554215	97.9495727482524			12.457175369073411		70.51640494480864
1161942	Ruminococcus champanellensis	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	1610.9594578998096	106.8071784766868	7662.328213474449		27.54015469055561	7023.621440560049	2211.8999524296582	8237.032018184811	8889.904869659009	2269.2928925944275	1597.7700243664767		3357.2271209136748	3910.543212553144	853.3596888634884	11595.664504631037	769.9745413112772	3008.2459662567376	3185.879103264656	36.96414289461325	108.08546533847654	38.06284235759112	7066.708501457769	401.7953577423012	2022.9351606577009	7334.037208470325	7028.348811254043	5202.584092621782	370.8473026420399		19232.858675850443		26796.622571983648	985.2588097654104	2065.408259367253	3721.700980230844	1611.5592662708425	1619.2277998929594	1722.3858499302528	157.60683513011338
1162980	Cohaesibacter haloalkalitolerans	Cohaesibacter	Cohaesibacteraceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	21.481447322119656		37.71326330293808																		21.58895323850234												36.52126173917258							
1163398	Pseudomonas donghuensis	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria																																					32.07677815762199			
1165	Anabaena cylindrica	Anabaena	Nostocaceae	Nostocales		Cyanobacteria	Bacteria																									137.98769292713473															
1173026	Gloeocapsa sp. PCC 7428	Gloeocapsa	Chroococcaceae	Chroococcales		Cyanobacteria	Bacteria																									84.34673507961755															
1176176	Methylobacterium haplocladii	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria															20.561786217215985																									
1176177	Methylobacterium brachythecii	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria															13.51914376374926																									
1176533	Luteimonas granuli	Luteimonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria																									33.5927632381944															
1176648	Planomicrobium soli	Planomicrobium	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria							32.22407909594202																																	
1179673	Oerskovia sp. KBS0722	Oerskovia	Cellulomonadaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria							17.022825312872804																																	
118060	Enterococcus rotai	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	160.1847094842514	28.04462174043628															54.75238144851272		40.07909709052223			39.96613529864225										17.024881405898046	395.4742246721311			44.07998019594918				
1194168	Comamonas jiangduensis	Comamonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria								28.1266802321047																																
119702	Paenibacillus granivorans	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria																								22.04854081330378																
1202713	Paenalcaligenes suwonensis	Paenalcaligenes	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria																									105.13670606785884															
1203033	Lactobacillus hominis	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria		16.68281668174119													180.36112703788476			44.03651708820362					33.32628270013207	844.836261769452			3266.0943496869363													1537.2779792137917
1203069	Lactobacillus gigeriorum	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria																													11.819672859398633											12.805075102152188
120370	Vagococcus fessus	Vagococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria																						2365.595116472728																		
1206	Trichodesmium erythraeum	Trichodesmium	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria																																	13.573418821372956							
120962	Roseiflexus castenholzii	Roseiflexus	Roseiflexaceae	Chloroflexales	Chloroflexia	Chloroflexi	Bacteria																								15.033096009070755																
1212662	Amphibacillus iburiensis	Amphibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria																									190.87546232929895															
1229621	Anaerostipes rhamnosivorans	Anaerostipes	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	229.35987227813007	63.3648927948406	143.6616674470837	29.031534783478392		106.21297709207072	26.33342928305227	131.13316313285551	418.214940592942	219.61383834307415	244.7307342984084	89.27935288538244	236.9488448675529	166.6126984169373	289.00149510255767	111.30908777607034	117.08312093495503	922.5825576568436	282.84475570356386	437.7820074828786	20.32699531908812	91.8093586871558	283.4950812926135	81.58853649785583	295.6658677098999	425.57334515509984	234.07625854970223	464.90857319955705	106.09214366648544		404.9144179624997	31.373788377128008	1473.6703356951948			176.4288676939362	148.923367381475	24.982109622525968	522.2216770003961	165.01066272701746
1229656	Acidibacter ferrireducens	Acidibacter			Gammaproteobacteria	Proteobacteria	Bacteria								12.057625163190334																																
1233113	Niveispirillum fermenti	Niveispirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria			10.575128240346716					29.431385941761334																																
1233114	Azospirillum fermentarium	Azospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	21.599052893483176		33.019556927232934					27.33349866618739																							28.418222031514794									
1245	Leuconostoc mesenteroides	Leuconostoc	Leuconostocaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria											26.03811706121434									23.03331796313601																29.05768398449264				
1263547	Oscillibacter ruminantium	Oscillibacter	Oscillospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria		13.544791215657874																																						24.41785347028376
126385	Providencia alcalifaciens	Providencia	Morganellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria								10.46649000349937															39.08627012080714													20.039781998410604				
1264	Ruminococcus albus	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria			61.53597498518708			413.8974018431147	141.46315614725984	108.82593399423996	317.331962887149	19.06603252368724	46.16562567415859		423.4430559384829				13.610405465305169	98.60749082025332	19.5245202431166				47.60249134103956			120.05043538509338	122.92828252955212	26.4513889488448	46.64504288179452		427.4434720481433		231.98728047877267	19.64490213804838		17.66108366801591	13.396491271116288	35.765701373773446	69.79478889845821	26.39524028746021
1265	Ruminococcus flavefaciens	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	997.2853277983252	23.412265716041293	1869.7512187545624			24.25531527591764		3406.5873994655717	2206.4846029622754	107.32421622960624	10.06723503418383		24.510569352868984		25.27591909991017	1211.93148084848	259.3440774261698	122.080725255218	66.74929272157654		15.112040941922308		470.8231509203522		128.24236415714438			1255.6872769260185			3790.63324519915		863.6348918575346		232.2483533716853	3928.879502726	133.13600665691573	803.4296007335093	94.58865878434872	
1267	Clostridium ventriculi	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria											11.281453037252415																						25.6751643977185							
1273132	Liberibacter crescens	Liberibacter	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria				40.40612645477863							31.506870729853155				93.9145195297631						14.865857181901395	48.3191168033933		50.3634237272536								40.663257853993294								
1280	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria		13.22998597808204						13.14094522821191																																
1282	Staphylococcus epidermidis	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria																				17.024915242538242																				
1283306	Xenophilus arseniciresistens	Xenophilus	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria								41.19688597414349																																
1288	Staphylococcus xylosus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	701.8304705233331	39390.819623576295	10136.036794350464	346.6854729623247			1467.7601579692816	9032.062063747426	56.09391076803068		50.05164805318148	38.64650562472848	594.244963498909	857.1454901556074	614.244432818635	2866.4047803698586	291.60966830040854	396.9681463929716	48.7540992498096	76.02262967195209	40.0641996475687	122.92190744245872	2138.881165489742	331.63001459516977	1028.6577143849702	30.058786838372075	483.9401110787504	71.18631389019977	16.007553974931017	54.04832673114646	4413.902734399155		2491.802529299388	125.12429092265492	2076.0755555194933	1577.2782057826646	61.828400050009805	2960.547253886261	126.03755033053852	
1288121	Alistipes senegalensis	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	100.17103079283304		67.04382325133192	38.9297560328317		31.93239666127184	25.98503066969356	42.64470976998176	62.39256676134671	109.74201775536824	35.53715489313923	103.50450666264426	11.823507856893828			30.79007966346679		20.828032809529617	36.45292167327154	27.42736940019556	61.91419487899353	50.7773470952872	332.9964144598076	441.3186904817712			172.82060340395336	48.72941146571047			43.062723770227954	26.63924094858376	77.98486612448086	22.95480141435241		37.99372591835712	32.6002556900186	40.681177262018345	26.76353050655292	34.92663132087692
1288970	Magnetospira sp. QH-2	Magnetospira	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	13.680364597642386		33.57472024950498					30.59987374340655										13.003105809707384					11.464468726129947		11.563954479399008		33.032235039142364				15.394637942739914		13.258230635285024							
1293442	Falsochrobactrum ovis	Falsochrobactrum	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria																									24.104287669434505															
1295366	Mesorhizobium soli	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria																								43.60070223977049																
1296	Staphylococcus sciuri	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	290.0745555490501	1521.2120013455035	14424.542804627434	43.06432444786105		15.028850951676256	9532.116223776096	29241.342916892536	91.12504572191176				83.18260169138932		353.8404685637654	178.50964144757327	93.29304382916489	10.017188822591615	10.019774272630556					39.08604962358397	1259.9268798275075		31.04377647770829						3894.108719823618		460.81549934694016	9217.711329470709	48.115167236432974	58.072615048533685	559.9987133482681	
1297424	Anaerobacterium chartisolvens	Anaerobacterium	Hungateiclostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	103.44356920281317		13.403022005381976										15.331532464694416			61.64870013106862				18.17718321691804		13.125626720923345		11.538527489874							21.71425855359191		11.885473905858268							12.295575172540458
1297617	Intestinimonas butyriciproducens	Intestinimonas		Clostridiales	Clostridia	Firmicutes	Bacteria	346.0654835653614	37.6868741140191	262.9258838535501	201.96580394784115		216.8197344952541	139.20679453499676	205.1032866869952	601.3270879600851	342.2158067978032	746.7087529325757	683.3578498436076	581.0855014476701	157.37622129508333	332.7535678216841	407.8577113508381	114.410308850783	243.3864963122321	264.9665115917818	311.1154382011404	49.355862077660994	171.02796067098248	396.5459193475468	178.44460807614422	167.56433407906906	443.4815720824122	289.78093596778166	351.5510111081145	49.018554704814136	12.489613506984016	434.7133447052186	100.5015137493113	809.2444999104434	134.83798758414108	50.87340862481992	302.0295732825713	109.40770145900731	142.75669025814923	162.63950768322638	934.6271858461336
1301100	[Clostridium] dakarense	Romboutsia	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria																			14.374896040044982				23.05087725073242																	
1305	Streptococcus sanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria		18.55817369403504			36.93157642605049	58.13294231350229	56.10638506341737	18.25030474892761	11.099241859394525		29.155923365299078	23.4702906189925	11.024194833760134	19.59083074857497		37.10599838234143	17.045751909550212				134.95695495845575			27.826165106855232	48.014090288846994			18.02647258860528	191.9693964882378			58.11008901292122		49.70229857352863	33.67221493300425					
1306787	Alcanivorax pacificus	Alcanivorax	Alcanivoracaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria																									14.730806086806645															
1307	Streptococcus suis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria			30.857834390594576																																					
1310417	Ferruginibacter paludis	Ferruginibacter	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria								14.068239402818994																																
1322	Blautia hansenii	Blautia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria											23.205152551267656		15.232410747355814		33.01731957472212	12.043077491484915				22.384755779533336							11.163813536303303						29.918700091541467							48.72314354892147
1324350	Acinetobacter equi	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria							20.84702032119711	260.99551419936193																																
133448	Citrobacter youngae	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria																														1486.0184250215725							339.74744308946464			
1337051	Murimonas intestini	Murimonas	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria		11.53203899736118	16.596518356991776							21.970869661082347	16.667614759164366		17.001977268427833	20.25970179289318	15.62813204039628	11.038267123238702		13.200723930584346	13.298374410565986	32.55664683459676	40.07176828069143		12.861589816311046	24.47362012706239	36.88614755561174	13.171736766921564		19.17481514410576	14.557882985318548		15.984561689999383		16.642726147896035	14.964101734847182		14.588153600716412	14.981078487065862	10.821085749800575	22.241330075234053	38.52823317823933
1337936	Calothrix sp. 336/3	Calothrix	Calotrichaceae	Nostocales		Cyanobacteria	Bacteria																									21.97973844841698															
1351	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria																	974.6290808577176	18.03093988118488										96.14118713922817			10.010997451384284					87.18114265257809				
1352	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria																														689.4458403054525							2392.004191658353			
1353	Enterococcus gallinarum	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria		99.16705839781388											61.110667407029766	14.025028949433826								101.21331500699436					29.035581399794783								615.3663526222757			12.0150238031449		
1354	Enterococcus hirae	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria																														2149.4622305511043					38.07305369384061		13783.466113280763	22.027543639098983		
135569	Helicobacter apodemus	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	23.29235129145633		23.255293071712337			48.04686396095347		36.08023512660517		70.06822399797343	220.26147779851468		265.547699774432	340.5704824181516	90.93503572054732			162.41738508805082	250.93226524244784	493.51440933029056	477.1338590889164		43.43979392458531	18.947047037068447	211.28437484954927		281.83304666522787	48.45351814742124				35.05704049031748	212.0366241079068	49.77951760820374		101.4654865875503	10.87767846131668	24.50842781013893	144.75636409326628	
1358	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria		87.20188991483346	81.14764351748896					1517.2840129619867				16.02084909625893		241.4304457543443	29.06904010619546	32.091674276619614	14.037678043158996	113.1942336952988	29.05734539062861		19.03049483259513	15.035433918678178						40.0588279746784								748.4858576406359				
1363	Lactococcus garvieae	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	20.023088685531427	16.026999337069842						83.3985739815233		30.038845134612085				21.037507721332904	120.2824130349139			17.025926486288444												16.014319032380538						35.06961849721855				
137591	Weissella cibaria	Weissella	Leuconostocaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria			15.020416149162797					67.32174049447936																												527.0462665613353				
1377	Aerococcus viridans	Aerococcus	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria																																			100.09873735593376					
137732	Granulicatella elegans	Granulicatella	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria									73.85030465779207			11.014333753678017																												
